gene,log2FC,pvalue,-log10p,significance
TFF1,5.032065065878856,7.854585905826724e-38,37.10487670604793,Up-regulated
OLFML3,3.9731262087742047,1.1696395298396344e-47,46.93194796246118,Up-regulated
IGFBP4,3.118788298645849,1.4800013488727867e-106,105.829737888789,Up-regulated
IGFBP5,3.056134572362311,7.431206440342467e-104,103.12894067374278,Up-regulated
MYC,2.631993625654586,1.586766542527164e-49,48.79948696533742,Up-regulated
S100A8,2.624225831647974,1.3215508062829027e-05,4.878916136002442,Up-regulated
SAA2,2.578529172738827,1.9102496411637282e-20,19.71890987322596,Up-regulated
NNMT,2.55151394617277,2.2074326133254862e-16,15.656112545330275,Up-regulated
SAA4,2.456508267969731,9.518721008241161e-24,23.021421402075504,Up-regulated
SAA1,2.3942456753301515,2.1916997551648495e-26,25.65921894088393,Up-regulated
GREB1,2.3405123414478086,8.833131915444681e-46,45.053885283689446,Up-regulated
MIR205HG,1.821100950843418,1.4152095638312106e-29,28.84917924517388,Up-regulated
S100A9,1.8133390217676069,9.119032453300161e-10,9.040051238698334,Up-regulated
KIF5C,1.564819618710391,5.246586365685285e-17,16.280123173686448,Up-regulated
MSX2,1.5426831693830565,2.297725380527324e-39,38.638701878540914,Up-regulated
OSGIN1,1.496611848302838,3.39283644749079e-13,12.469437075121824,Up-regulated
RARRES2,1.4945534117867283,1.9185314992721417e-23,22.71703106597425,Up-regulated
MPPED2,1.416355975157049,1.7951205567375212e-20,19.745906379749883,Up-regulated
RUNX1,1.415372439303088,8.515150179407358e-51,50.069807688099175,Up-regulated
MT1X,1.3868520329310965,0.0066743791914739,2.1755891234099285,Up-regulated
CISH,1.3753167406202325,1.3626037978704504e-13,12.865630404922616,Up-regulated
TSKU,1.364475037241853,1.7836802161332078e-51,50.748683004678206,Up-regulated
PPM1K,1.3550961733992504,3.383943503190095e-31,30.47057689635926,Up-regulated
TUBB2B,1.3344737630130965,6.6407705406598754e-18,17.177781525731174,Up-regulated
BIRC3,1.2630685407470414,9.89379947047008e-09,8.004636896251084,Up-regulated
CTSC,1.2312250206262074,2.808221040707344e-20,19.55156871100757,Up-regulated
ITGA6,1.224032939248668,2.9691372843430994e-26,25.527369721415653,Up-regulated
CITED4,1.218708831662813,1.5036809554365226e-47,46.82284430070702,Up-regulated
TFF3,1.210354132084976,1.5750597041123227e-46,45.80270297922353,Up-regulated
NCMAP,1.2070250132618343,6.922216371530061e-20,19.159754829847884,Up-regulated
SLC43A3,1.1756017642233705,4.2723093987846674e-23,22.369337303423496,Up-regulated
CUEDC1,1.166240443970031,3.434782954404762e-65,64.46410070101564,Up-regulated
SERPINE2,1.1611226125037837,7.726553876172774e-07,6.11201416277888,Up-regulated
MYBL1,1.155080277404896,1.0602946854935373e-15,14.974573415398018,Up-regulated
RAB31,1.1474053817066214,6.816681661498948e-14,13.166426987046362,Up-regulated
IL6ST,1.1452881570805726,5.861688856243132e-52,51.23197723803047,Up-regulated
CCND1,1.1378160885496729,6.109876398290995e-35,34.21396757536844,Up-regulated
GAL,1.1265399335506077,1.0916356479357274e-15,14.96192229065605,Up-regulated
HAGHL,1.1253257060839554,6.764861076484714e-20,19.16974111766733,Up-regulated
TNS4,1.1175793024794878,3.459277953430139e-22,21.461014540965945,Up-regulated
FABP6,1.1091835294198098,5.250690988848842e-12,11.27978353985172,Up-regulated
CSTB,1.096167917544096,2.3906757389259466e-43,42.62147932574335,Up-regulated
LGALSL,1.07980050422745,4.2033899364985527e-20,19.376400319865027,Up-regulated
EGLN2,1.078177436562045,3.71654798275251e-46,45.42986025583557,Up-regulated
PPP1R14B,1.0498497714774804,2.635660543120107e-80,79.57911052493654,Up-regulated
PAICS,1.0440475945117456,2.6306760691857923e-41,40.57993262588855,Up-regulated
ATP6V1B1,1.0264094568410356,1.9941976129275227e-14,13.70023180793429,Up-regulated
GJB2,1.0250533511265467,3.1950959777955948e-21,20.49551609149589,Up-regulated
RPL22L1,1.0219230470344076,1.4865644440955548e-32,31.827816258939077,Up-regulated
